annotator,winner,loser,time
08d163f66594422c,4e5161afa19dd4f6,0b3b107aa68048d9,2015-09-20 14:34:19.464839
b6e89c05f85245c9,fe90015240e9661c,422917ac913079a6,2015-09-20 14:38:12.278577
b6e89c05f85245c9,fe90015240e9661c,9789c22ef7125f04,2015-09-20 14:38:14.941714
b6e89c05f85245c9,9789c22ef7125f04,390fbd0788f68659,2015-09-20 14:38:17.460104
b6e89c05f85245c9,390fbd0788f68659,ed6364e30d7cdc83,2015-09-20 14:38:20.150281
b6e89c05f85245c9,ed6364e30d7cdc83,49e9890bd7cd8b98,2015-09-20 14:38:22.570198
b6e89c05f85245c9,49e9890bd7cd8b98,18d53bcee4049609,2015-09-20 14:38:25.768058
b6e89c05f85245c9,18d53bcee4049609,9cbda0eca85bd0fc,2015-09-20 14:38:28.391181
b6e89c05f85245c9,9cbda0eca85bd0fc,bcc194b53d1b8363,2015-09-20 14:38:32.208687
9e6d72aa0839c22a,fe10193a084df594,55d6aaa5641ec8cc,2015-09-20 14:41:35.475184
9e6d72aa0839c22a,55d6aaa5641ec8cc,37f8db27b26f5549,2015-09-20 14:41:42.429313
9e6d72aa0839c22a,37f8db27b26f5549,c22b9bda505b5749,2015-09-20 14:41:48.470053
f0314d1144f5ec41,0a1585de9ecca0bc,6bf7141ccba5b052,2015-09-20 14:46:44.146371
f0314d1144f5ec41,6bf7141ccba5b052,75cfc774029ffed5,2015-09-20 14:46:47.219293
ec9dace35114c00c,25bc0d88eb5af31c,0388741d2158d6e1,2015-09-20 14:57:11.865338
ec9dace35114c00c,25905e3259cd42d9,0388741d2158d6e1,2015-09-20 14:57:57.017397
ec9dace35114c00c,25905e3259cd42d9,cbef24e495858e6b,2015-09-20 15:03:33.111385
a6b24bd22377601a,faac7e636769aaf6,3308f4fbd3300fbf,2015-09-20 15:05:05.814224
7427de5ab19c2343,8eec936c243bae81,0b2278e6906fe20a,2015-09-20 15:05:34.968121
ec9dace35114c00c,199799cf26a89281,cbef24e495858e6b,2015-09-20 15:07:00.086695
7e85e6d16c1358bb,df0b574e2a891076,6d3fc6ef19fdc128,2015-09-20 15:07:04.04794
f9c1aa7064a97cd0,771d79f1b6dcec5b,d9fda45497a7e1d7,2015-09-20 15:07:40.17032
3bec00ceec2ba473,744e89644c749f4c,e0f157f879ed0798,2015-09-20 15:09:42.685867
1c6eddf21a4a6be0,407439852f821e9a,771d79f1b6dcec5b,2015-09-20 15:09:58.03655
c3397ec09f1d54a0,d373321dcec514ea,26d4cb38ba02820a,2015-09-20 15:10:02.26237
dc5f62ace932a3c1,a996112615d16097,771d79f1b6dcec5b,2015-09-20 15:10:03.131854
929e602b19f17b04,d474540874b4c1e2,51f465fe789ceffb,2015-09-20 15:10:30.877817
202437035cc015e0,d474540874b4c1e2,407439852f821e9a,2015-09-20 15:10:50.949867
47740adacb600d62,16817cd9a8d557ef,744e89644c749f4c,2015-09-20 15:11:15.520589
0093c1a9733e3804,72fb46824e112bc9,d1b14c52446f979c,2015-09-20 15:11:28.718265
cec671d4772e7229,ea25039a12c43724,717de8575a83c3f4,2015-09-20 15:11:37.028526
b302038a5f54104b,23e88fe6e6c6dc99,ed6364e30d7cdc83,2015-09-20 15:12:07.647847
f9c1aa7064a97cd0,d9fda45497a7e1d7,df0b574e2a891076,2015-09-20 15:12:07.704085
2ae4272d403a0f02,dbc353fca44ddc63,e05a5c2d63f18a27,2015-09-20 15:12:07.821013
19998f7ae23f3e83,e05a5c2d63f18a27,11aae39c4c2ffe00,2015-09-20 15:12:09.048105
3b12fb1c81746a51,fcdc5c6575c7dd66,d68acbbc639e8026,2015-09-20 15:12:11.113833
5b952f4b5bdd5a1c,25761e9c5cdbbac5,199799cf26a89281,2015-09-20 15:12:32.842225
0093c1a9733e3804,78023ab2d0c2de88,d1b14c52446f979c,2015-09-20 15:12:35.531134
0a3455c6876d6949,bc7a2c36804fd23b,771d79f1b6dcec5b,2015-09-20 15:13:11.440593
92caadc8b2e1d6fe,96350fec3bdfb2cf,d9fda45497a7e1d7,2015-09-20 15:13:11.631129
154b3d7867ee99d9,593d16595d7cfa17,ea1952c3ea6dab02,2015-09-20 15:13:12.155306
2ae4272d403a0f02,dbc353fca44ddc63,2b81dfc834c77e97,2015-09-20 15:13:12.228929
00bb4bc73a29dc3e,e45980ffaf976717,7d7ebd50c79b1665,2015-09-20 15:13:12.329666
c577760eefe58589,ef9a28e181420841,4247049116327144,2015-09-20 15:13:44.015062
57818d4e8d931535,99dffb09c13f5a75,c244e5eba66c0493,2015-09-20 15:13:44.091395
